Time (yyyy-MM-dd hh:mm:ss),Elapsed Time (seconds),Sampling Interval (seconds),Temp (Celsius),Wet Bulb Temp. (Celsius),Rel. Hum. (%),Baro. (mb),Altitude (Meters),Altitude Baseline (Meters),AOG (Meters),Wind Speed (m/s),Mag. Dir. (Degrees),True Dir. (Degrees)
2023-01-13 15:41:16,0.0,2.0,6.9,3.9,62.4,1001.2,99,94.53921843770709,4.460781562292908,1.1,62,62
2023-01-13 15:41:18,2.0,2.0,6.9,3.9,62.4,1001.4,96,94.53627317088878,1.4637268291112235,1.4,75,76
2023-01-13 15:41:20,4.0,2.0,7.0,4.0,62.4,1001.0,100,94.53332790407046,5.466672095929539,1.0,140,141
2023-01-13 15:41:22,6.0,2.0,7.0,4.0,62.3,1001.5,96,94.53038263725216,1.4696173627478402,0.8,147,148
2023-01-13 15:41:24,8.0,2.0,7.0,4.0,62.2,1001.5,96,94.52743737043384,1.4725626295661556,0.6,120,121
2023-01-13 15:41:26,10.0,2.0,7.0,4.0,62.1,1001.7,95,94.52449210361553,0.475507896384471,1.4,88,88
2023-01-13 15:41:28,12.0,2.0,7.1,4.0,61.9,1001.7,95,94.52154683679721,0.4784531632027864,0.9,134,135
2023-01-13 15:41:30,14.0,2.0,7.1,4.0,61.8,1001.7,94,94.5186015699789,-0.5186015699788982,0.5,146,147
2023-01-13 15:41:32,16.0,2.0,7.1,4.0,61.8,1001.7,94,94.5156563031606,-0.515656303160597,0.8,112,113
2023-01-13 15:41:34,18.0,2.0,7.1,4.0,61.7,1001.7,95,94.51271103634228,0.48728896365771845,1.1,86,87
2023-01-13 15:41:36,20.0,2.0,7.1,4.0,61.6,1001.7,94,94.50976576952397,-0.5097657695239661,1.0,158,159
2023-01-13 15:41:38,22.0,2.0,7.2,4.1,61.5,1001.7,94,94.50682050270565,-0.5068205027056507,1.1,131,132
2023-01-13 15:41:40,24.0,2.0,7.2,4.1,61.5,1001.7,94,94.50387523588734,-0.5038752358873353,1.2,88,88
2023-01-13 15:41:42,26.0,2.0,7.2,4.1,61.4,1001.7,95,94.50092996906903,0.4990700309309659,1.0,127,128
2023-01-13 15:41:44,28.0,2.0,7.2,4.1,61.4,1001.7,94,94.49798470225072,-0.49798470225071867,1.2,142,142
2023-01-13 15:41:46,30.000000000000004,2.0,7.1,4.0,61.4,1001.7,94,94.4950394354324,-0.49503943543240325,0.9,94,95
2023-01-13 15:41:48,32.0,2.0,7.1,4.0,61.4,1001.7,94,94.49209416861409,-0.49209416861408783,0.4,308,308
2023-01-13 15:41:50,34.0,2.0,7.1,4.0,61.4,1001.7,94,94.48914890179577,-0.4891489017957724,0.7,180,181
2023-01-13 15:41:52,36.0,2.0,7.1,4.0,61.4,1001.7,94,94.48620363497746,-0.486203634977457,1.0,8,9
2023-01-13 15:41:54,38.0,2.0,7.1,4.0,61.3,1001.7,93,94.48325836815916,-1.4832583681591558,1.1,338,338
2023-01-13 15:41:56,40.0,2.0,7.1,4.0,61.3,1001.7,95,94.48031310134084,0.5196868986591596,1.1,339,339
2023-01-13 15:41:58,42.0,2.0,7.1,4.0,61.3,1001.7,94,94.47736783452252,-0.47736783452252496,0.7,331,331
2023-01-13 15:42:00,44.0,2.0,7.1,4.0,61.4,1001.7,94,94.47442256770421,-0.47442256770420954,0.5,330,330
2023-01-13 15:42:02,46.0,2.0,7.1,4.0,61.5,1001.9,93,94.4714773008859,-1.4714773008858941,0.5,332,333
2023-01-13 15:42:04,48.0,2.0,7.1,4.0,61.6,1001.5,96,94.4685320340676,1.531467965932407,0.6,343,343
2023-01-13 15:42:06,50.0,2.0,7.1,4.0,61.7,1001.7,95,94.46558676724928,0.5344132327507225,1.1,296,296
2023-01-13 15:42:08,52.0,2.0,7.0,4.0,61.8,1001.7,94,94.46264150043096,-0.4626415004309621,1.6,320,320
2023-01-13 15:42:10,54.0,2.0,7.0,4.0,62.0,1001.7,94,94.45969623361265,-0.45969623361264667,1.7,324,325
2023-01-13 15:42:12,56.0,2.0,7.0,4.0,62.1,1001.7,95,94.45675096679433,0.5432490332056688,1.4,211,212
2023-01-13 15:42:14,58.00000000000001,2.0,7.0,4.0,62.2,1001.7,95,94.45380569997603,0.54619430002397,0.9,254,255
2023-01-13 15:42:16,60.00000000000001,2.0,7.0,4.0,62.3,1001.7,95,94.45086043315771,0.5491395668422854,0.8,224,225
2023-01-13 15:42:18,62.00000000000001,2.0,7.0,4.0,62.4,1001.7,94,94.4479151663394,-0.4479151663393992,0.9,167,168
2023-01-13 15:42:20,64.0,2.0,7.0,4.1,62.5,1001.7,95,94.44496989952108,0.5550301004789162,0.9,159,160
2023-01-13 15:42:22,66.0,2.0,7.0,4.1,62.6,1001.7,94,94.44202463270277,-0.44202463270276837,2.3,111,111
2023-01-13 15:42:24,68.0,2.0,7.0,4.1,62.6,1001.7,94,94.43907936588447,-0.43907936588446717,2.1,99,99
2023-01-13 15:42:26,70.0,2.0,7.0,4.1,62.7,1001.7,94,94.43613409906615,-0.43613409906615175,1.2,119,120
2023-01-13 15:42:28,72.0,2.0,7.0,4.1,62.7,1001.7,95,94.43318883224784,0.5668111677521637,1.6,132,133
2023-01-13 15:42:30,74.0,2.0,7.0,4.1,62.7,1001.7,95,94.43024356542952,0.5697564345704791,1.8,136,136
2023-01-13 15:42:32,76.0,2.0,7.0,4.1,62.7,1001.7,95,94.4272982986112,0.5727017013887945,1.8,134,134
2023-01-13 15:42:34,78.0,2.0,7.0,4.1,62.7,1001.7,95,94.4243530317929,0.5756469682070957,2.1,128,128
2023-01-13 15:42:36,80.0,2.0,7.1,4.1,62.7,1001.7,95,94.42140776497459,0.5785922350254111,2.2,130,130
2023-01-13 15:42:38,82.0,2.0,7.1,4.1,62.6,1001.7,94,94.41846249815627,-0.41846249815627345,2.1,147,148
2023-01-13 15:42:40,84.0,2.0,7.1,4.1,62.5,1001.7,94,94.41551723133796,-0.41551723133795804,1.1,145,146
2023-01-13 15:42:42,86.0,2.0,7.1,4.1,62.4,1001.5,96,94.41257196451964,1.5874280354803574,0.5,165,166
2023-01-13 15:42:44,88.0,2.0,7.0,4.0,62.4,1001.7,94,94.40962669770133,-0.4096266977013272,0.8,156,157
2023-01-13 15:42:46,90.0,2.0,7.0,4.0,62.3,1001.7,94,94.40668143088303,-0.406681430883026,1.0,164,165
2023-01-13 15:42:48,92.0,2.0,7.0,4.0,62.3,1002.2,90,94.40373616406471,-4.403736164064711,1.0,126,127
2023-01-13 15:42:50,94.0,2.0,7.0,4.0,62.3,1001.2,98,94.4007908972464,3.599209102753605,0.8,198,199
2023-01-13 15:42:52,96.0,2.0,7.1,4.1,62.3,1001.5,96,94.39784563042808,1.6021543695719203,0.6,201,202
2023-01-13 15:42:54,98.0,2.0,7.2,4.1,62.3,1001.5,96,94.39490036360976,1.6050996363902357,0.7,178,179
2023-01-13 15:42:56,100.0,2.0,7.2,4.1,62.4,1001.5,96,94.39195509679146,1.6080449032085369,0.8,196,197
2023-01-13 15:42:58,102.0,2.0,7.2,4.3,62.5,1001.5,96,94.38900982997315,1.6109901700268523,1.0,119,120
2023-01-13 15:43:00,104.0,2.0,7.2,4.2,62.6,1001.5,96,94.38606456315483,1.6139354368451677,1.5,3,3
2023-01-13 15:43:02,106.0,2.0,7.2,4.2,62.6,1001.5,96,94.38311929633652,1.6168807036634831,1.3,34,35
2023-01-13 15:43:04,108.0,2.0,7.2,4.1,62.6,1001.5,95,94.3801740295182,0.6198259704817985,1.2,46,47
2023-01-13 15:43:06,110.0,2.0,7.2,4.1,62.5,1001.7,95,94.3772287626999,0.6227712373000998,1.0,1,1
2023-01-13 15:43:08,112.0,2.0,7.2,4.1,62.4,1001.7,95,94.37428349588158,0.6257165041184152,0.5,12,13
2023-01-13 15:43:10,114.0,2.0,7.2,4.1,62.2,1001.7,94,94.37133822906327,-0.3713382290632694,0.4,5,6
2023-01-13 15:43:12,116.00000000000001,2.0,7.2,4.1,62.1,1001.7,95,94.36839296224495,0.631607037755046,0.4,20,20
2023-01-13 15:43:14,118.00000000000001,2.0,7.2,4.1,62.0,1001.7,94,94.36544769542664,-0.3654476954266386,0.5,36,36
2023-01-13 15:43:16,120.00000000000001,2.0,7.2,4.1,61.8,1001.7,95,94.36250242860834,0.6374975713916626,0.8,121,121
2023-01-13 15:43:18,122.00000000000001,2.0,7.1,4.0,61.6,1001.7,95,94.35955716179002,0.640442838209978,0.6,154,155
2023-01-13 15:43:20,124.00000000000001,2.0,7.1,4.0,61.5,1001.7,95,94.3566118949717,0.6433881050282935,0.4,136,136
2023-01-13 15:43:22,126.00000000000001,2.0,7.1,4.0,61.3,1001.7,95,94.35366662815339,0.6463333718466089,0.0,129,130
2023-01-13 15:43:24,128.0,2.0,7.2,4.1,61.1,1001.7,94,94.35072136133508,-0.3507213613350757,0.5,113,114
2023-01-13 15:43:26,130.0,2.0,7.2,4.1,61.0,1001.7,95,94.34777609451677,0.6522239054832255,0.8,155,155
2023-01-13 15:43:28,132.0,2.0,7.2,4.1,60.9,1001.7,94,94.34483082769846,-0.3448308276984591,0.6,169,170
2023-01-13 15:43:30,134.0,2.0,7.2,4.1,60.9,1001.7,95,94.34188556088014,0.6581144391198563,0.0,197,198
